director,actor1Name,actor2Name,actor3Name,duration,contentRating,net_revenue,imdbScore
"Curtis Hanson","Mekhi Phifer","Omar Benson Miller","Evan Jones",110,R,75724075,7
"Jamel Debbouze","Jamel Debbouze","Youssef Hajdi","Mélissa Theuriau",101,,0,4.9
"Brian Helgeland","Heath Ledger","Rufus Sewell","Bérénice Bejo",144,PG-13,-8916034,6.9
"Gordon Chan","Julian Sands","Lee Evans","Anthony Chau-Sang Wong",108,PG-13,-18891023,5.2
"M. Night Shyamalan","Bruce Willis","Haley Joel Osment","Olivia Williams",107,PG-13,253501675,8.1
"Asger Leth","Robert Clohessy","Mandy Gonzalez","J. Smith-Cameron",102,PG-13,-23399089,6.6
"David Frankel","Joel McHale","Kevin Pollak","JoBeth Williams",100,PG,-33795862,6.2
"John G. Avildsen","Martin Kove","William Zabka","William Bassett",126,PG,82800000,7.2
"David O. Russell","Jennifer Lawrence","Christian Bale","Bradley Cooper",138,R,110117807,7.3
"Anne Fletcher","Ryan Reynolds","Denis O'Hare","Craig T. Nelson",108,PG-13,123947053,6.7
"Bruce Beresford","Bruce Greenwood","Annabeth Gish","Bruce Campbell",105,R,46735231,6.4
"Robert Zemeckis","Lea Thompson","Jeffrey Weissman","Thomas F. Wilson",108,PG,78500000,7.8
"Luc Besson","Scarlett Johansson","Morgan Freeman","Amr Waked",89,R,86546825,6.4
"Sam Taylor-Johnson","Jennifer Ehle","Luke Grimes","Callum Rennie",129,R,126147885,4.1
"Robert Rodriguez","Sylvester Stallone","Salma Hayek","Alexa PenaVega",84,PG,73760631,4.1
"Joel Schumacher","Kevin Spacey","Matthew McConaughey","Oliver Platt",149,R,68706165,7.4
"Shawn Levy","Tom Welling","Alyson Stoner","Bonnie Hunt",94,PG,98614544,5.8
"Peter Berg","Jerry Ferrara","Scott Elrod","Dan Bilzerian",121,R,85069696,7.6
"Penny Marshall","Tom Hanks","Lori Petty","Rosie O'Donnell",128,PG,67458785,7.2
"James Wan","Javier Botet","Frances O'Connor","Robin Atkin Downes",134,R,62310175,7.8
"David Fincher","Andrew Garfield","Dustin Fitzsimons","Marcella Lentz-Pope",120,PG-13,56917897,7.7
"Ken Kwapis","Carmen Perez","Sabrina Revelle","Sachiko Ishida",129,PG-13,53952276,6.4
"David Zucker","Beau Mirchoff","Carmen Electra","Regina Hall",89,PG-13,45703745,5.1
"Wes Craven","Kelly Rutherford","Roger Jackson","Nancy O'Dell",116,R,49138076,5.5
"Robert Zemeckis","Lea Thompson","Jeffrey Weissman","Thomas F. Wilson",118,PG,47666629,7.4
"Etan Cohen","Will Ferrell","Alison Brie","Craig T. Nelson",107,R,50353764,6
"Francis Ford Coppola","Keanu Reeves","Anthony Hopkins","Gary Oldman",155,R,42522790,7.5
"Nora Ephron","Meryl Streep","Mary Lynn Rajskub","Vanessa Ferlito",123,PG-13,54125426,7
"Brian Helgeland","Harrison Ford","Christopher Meloni","Nicole Beharie",128,PG-13,55001343,7.5
"Anthony Minghella","Philip Seymour Hoffman","Matt Damon","Jack Davenport",139,R,41292135,7.3
"Bobby Farrelly","Bill Murray","Kathleen Turner","Rob Riggle",109,PG-13,51208010,5.7
"Frank Marshall","Paul Walker","Bruce Greenwood","Wendy Crewson",120,PG,41593527,7.3
"Nancy Meyers","Robert De Niro","Anne Hathaway","Rene Russo",121,PG-13,40274748,7.2
"Tim Story","Olivia Munn","Nadine Velazquez","Bruce McGill",102,PG-13,50835030,5.9
"Michael Mann","Wes Studi","Terry Kinney","Eric Schweig",117,R,32455275,7.8
"Taylor Hackford","Bokeem Woodbine","Curtis Armstrong","Harry Lennix",178,PG-13,35305995,7.7
"Frank Miller","Rosario Dawson","Powers Boothe","Jason Douglas",147,R,34098862,8.1
"Pete Travis","Dennis Quaid","Edgar Ramírez","William Hurt",90,PG-13,32266306,6.6
"John Hamburg","J.K. Simmons","Jon Favreau","Jane Curtin",105,R,31347010,7.1
"Bobby Farrelly","Jason Alexander","Bruce McGill","Susan Ward",114,PG-13,30836296,5.9
"Oliver Stone","Sally Kirkland","Jay O. Sanders","Cheryl Penland",206,R,30405498,8
"John Whitesell","Chloë Grace Moretz","Nia Long","Marisol Nichols",99,PG-13,30163652,4.6
"Gore Verbinski","J.K. Simmons","Brad Pitt","Julia Roberts",123,R,32808615,6.1
"Angelina Jolie Pitt","Finn Wittrock","Jack O'Connell","Alex Russell",137,PG-13,50603980,7.2
"Burr Steers","Matthew Perry","Hunter Parrish","Thomas Lennon",102,PG-13,44149837,6.4
"Nick Cassavetes","Don Johnson","Kate Upton","David Thornton",109,PG-13,43906114,6
"David R. Ellis","Krista Allen","Andrew Fiscella","Shantel VanSanten",82,R,26466372,5.2
"Steven Spielberg","Tom Hanks","Mark Rylance","Amy Ryan",142,PG-13,32306065,7.6
"John Moore","Joaquim de Almeida","David Keith","Sam Jaeger",106,PG-13,19068786,6.4
"Nicholas Stoller",Pink,"Mario Lopez","Lino Facioli",114,R,60923325,6.4
"Peter Chelsom","Lisa Ann Walter","Nick Cannon","Omar Benson Miller",106,PG-13,7887882,6.1
"Joe Dante","Kirsten Dunst","Denis Leary","Robert Picardo",108,PG-13,13955614,6.1
"Mark A.Z. Dippé","Michael Jai White","Frank Welker","Miko Hughes",98,R,14967359,5.2
"Kevin Reynolds","Henry Cavill","James Frain","Michael Wincott",131,PG-13,19228104,7.7
"Brad Furman","Matthew McConaughey","Margarita Levieva","Frances Fisher",118,R,17981889,7.3
"Jaume Collet-Serra","Liam Neeson","Frank Langella","Aidan Quinn",113,PG-13,31094903,6.9
"Christopher Nolan","Christian Bale","Hugh Jackman","Scarlett Johansson",130,PG-13,13082743,8.5
"Sean Anders","Kevin Spacey","Christoph Waltz","Lindsay Sloane",116,R,12414716,6.3
"Cal Brunker","Brendan Fraser","Paul Scheer","Jonathan Morgan Heit",89,PG,17011847,5.9
"Mel Gibson","Rudy Youngblood","Dalia Hernández","Jonathan Brewer",139,R,10859889,7.8
"John Glen","Joe Don Baker","Desmond Llewelyn","Art Malik",130,PG,21185897,6.7
"Nimród Antal","Topher Grace","Alice Braga","Derek Mears",107,R,12000688,6.4
"Ivan Reitman","Brian Dennehy","Debra Winger","Roscoe Lee Browne",116,PG,9851591,5.9
"David Koepp","Johnny Depp","Charles S. Dutton","Timothy Hutton",96,PG-13,7781388,6.6
"Alejandro Agresti","Keanu Reeves","Dylan Walsh","Ebon Moss-Bachrach",99,PG,12320979,6.8
"Iain Softley","Gena Rowlands","Deneen Tyler","Joy Bryant",104,PG-13,4806295,6.5
"Peter Hedges","Jennifer Garner","Odeya Rush",Common,105,PG,26853450,6.6
"Paul Weiland","Busy Philipps","Beau Garrett","Kevin Sussman",101,PG-13,6012734,5.8
"Clint Eastwood","Johnny Cannizzaro","Steve Schirripa","Scott Vance",134,R,7034272,6.9
"Francis Ford Coppola","Matt Damon","Dean Stockwell","Virginia Madsen",135,PG-13,5856732,7.1
"Mathieu Kassovitz","Robert Downey Jr.","Charles S. Dutton","Bernard Hill",98,R,19588068,5.8
"Steven Spielberg","Anthony Hopkins","Morgan Freeman","Matthew McConaughey",155,R,8175394,7.2
"John McTiernan","Lorraine Bracco","José Wilker","Sean Connery",106,PG-13,5500797,6
"Colin Strause","Sam Trammell","Johnny Lewis","Ian Whyte",102,R,1797066,4.7
"Donald Petrie","Macaulay Culkin","John Larroquette","Jonathan Hyde",95,PG,-1912244,5.2
"Joan Chen","J.K. Simmons","Sam Trammell","Elaine Stritch",103,PG-13,-2247069,5.5
"Marc Lawrence","Brad Garrett","Scott Porter","Haley Bennett",95,PG-13,50562555,6.5
"Greg Mottola","Bobby Lee","Nelson Ascencio","Jeremy Owen",109,R,-2628615,7
"Anne Fletcher","Miriam Margolyes","Tom Virtue","Julene Renee",95,PG-13,-2898989,5.8
"Wes Craven","Alison Brie","Aimee Teegarden","Shenae Grimes-Beech",111,R,-1823108,6.2
"Joel Schumacher","Nicolas Cage","Chris Bauer","Anthony Heald",123,R,-3716496,6.5
"Oliver Stone","Michael Wincott","Kevin Dillon","Kathleen Quinlan",140,R,-2816208,7.2
"Jake Kasdan","James Wilcox","Randall Park","Nat Faxon",94,R,-1456527,5.1
"Diane Keaton","Adam Arkin","Celia Weston","Jesse James",94,PG-13,-23962091,4.7
"Steven Quale","Emma Bell","Jacqueline MacInnes Wood","Courtney B. Vance",92,R,2575718,5.9
"Kelly Makin","Jeanne Tripplehorn","Burt Young","Vincent Pastore",102,PG-13,-6135658,5.8
"Mimi Leder","Kevin Spacey","Haley Joel Osment","Angie Dickinson",123,PG-13,-6491078,7.2
"Bobby Farrelly","Jimmy Fallon","KaDee Strickland","Ione Skye",104,PG-13,12071069,6.2
,"Bruce Dinsmore","Melissa Altro","Daniel Brochu",30,TV-Y,0,7.4
"Steven Brill","Lisa Ann Walter","Shaun Weiss","Matt Walsh",102,PG-13,-7146360,5.7
"Seth MacFarlane","Liam Neeson","Charlize Theron","Seth MacFarlane",136,R,2615685,6.1
"Russell Mulcahy","Jonathan Winters","Peter Boyle","John Kapelos",93,PG-13,7055248,6
"Stephen Daldry","Tom Hanks","Thomas Horn","Stephen Henderson",129,PG-13,-8163255,6.9
"Roger Michell","Noah Bean","Patti D'Arbanville","Vanessa Aspillaga",107,PG-13,-9006456,6.5
"Jim Sheridan","50 Cent","Bill Duke","Marc John Jefferies",117,R,-9018150,5
"Christian Duguay","Michael Biehn","Cary-Hiroyuki Tagawa","Anne Archer",116,R,-9800895,5.7
"Chris Columbus","Rosario Dawson","David Fine","Jesse L. Martin",135,PG-13,-10922453,7
"Chuck Russell","Rufus Sewell","Jimmy Smits","Angela Bettis",107,R,-10625822,5.1
"Sam Weisman","Oliver Hudson","Valerie Perri","Carlease Burke",90,PG-13,-11464232,5.3
"John Frankenheimer","Marlon Brando","Temuera Morrison","Marco Hofschneider",99,PG-13,-12336018,4.4
"Peter Hyams","Catherine Deneuve","Justin Chambers","Stephen Rea",104,PG-13,-12946185,4.7
"Justin Chadwick","Natalie Portman","Scarlett Johansson","Benedict Cumberbatch",115,PG-13,-8185043,6.7
"Pat O'Connor","Keanu Reeves","Charlize Theron","Frank Langella",119,PG-13,-14821835,6.7
"Stephen Hopkins","Stephen Rea","Andrea Frankle","William Ragsdale",99,R,-14882502,5.7
"Martin Scorsese","Robert De Niro","David Carradine","David Proval",112,R,-467355,7.4
"Penny Marshall","Ed Begley Jr.","Cliff Robertson","Lillo Brancato",128,PG-13,-15667676,6.1
"Olivier Megaton","Jordi Mollà","Callum Blue","Jesse Borrego",112,PG-13,-3334146,6.4
"Frederik Du Chau","Gary Oldman","Jaleel White","Eric Idle",86,G,-17282242,6.2
"Michael Caton-Jones","Robert De Niro","James Franco","John Doman",108,R,-37566085,6.2
"Irwin Winkler","Mira Sorvino","Nathan Lane","Steven Weber",128,PG-13,-37673753,5.9
"Joseph Kahn","Dane Cook","Jay Hernandez","Christina Milian",84,PG-13,-18823678,4
"Harold Becker","Al Pacino","Martin Landau","Bridget Fonda",111,R,-19700000,6.2
"Paul Verhoeven","Bobbie Phillips","Elizabeth Berkley","Robert Davi",131,NC-17,-24697039,4.6
"Sofia Coppola","Kirsten Dunst","Shirley Henderson","Rip Torn",123,PG-13,-24037529,6.4
"Barbet Schroeder","Nicolas Cage","Michael Rapaport","Philip Baker Hall",101,R,-25057578,5.9
"Stephen Kay","Sylvester Stallone","Miranda Richardson","Lauren Lee Smith",102,R,-25032818,5.1
"J.A. Bayona","Naomi Watts","Geraldine Chaplin","Oaklee Pendergast",114,PG-13,-26003245,7.6
"Elaine May","Carol Kane","Warren Beatty","Isabelle Adjani",107,PG-13,-36624819,4.2
"Wes Anderson","Bill Murray","Meryl Streep","Helen McCrory",87,PG,-19000897,7.8
"Stephen Herek","Angelina Jolie Pitt","Stockard Channing","James Gammon",103,PG-13,-25551411,5.8
"John Carpenter","Richard Epcar","Michael McKean","Patricia Heaton",99,PG-13,-25641967,5.9
"Jean-Pierre Jeunet","Mathieu Kassovitz","Jamel Debbouze","Isabelle Nanty",122,R,-43798339,8.4
"Dennie Gordon","Mary-Kate Olsen","Bob Saget","Riley Smith",91,PG,-15981636,4.8
"Charles Shyer","Omar Epps","Nia Long","Jane Krakowski",103,R,-46604061,6.2
"Ken Kwapis","Ted Danson","Tim Blake Nelson","Andrew Daly",107,PG,-19886035,6.5
"Ulu Grosbard","Alexa PenaVega","Treat Williams","Jonathan Jackson",106,PG-13,-26623494,6.3
"William Malone","Natascha McElhone","Jeffrey Combs","Udo Kier",101,R,-28791977,3.3
"Paul Weitz","Josh Hutcherson","Salma Hayek","Patrick Fugit",109,PG-13,-26161870,5.9
"Paul McGuigan","Daniel Radcliffe","Spencer Wilding","Daniel Mays",110,PG-13,-34226481,6
"Danny DeVito","Justin Theroux","Amber Valletta","Harvey Fierstein",89,PG-13,-30348000,5.8
"Malcolm D. Lee","Bernie Mac","Sean Hayes","Mike Epps",100,R,12081447,6.5
"Jerry Jameson","M. Emmet Walsh","Jason Robards","Anne Archer",119,PG,-29000000,4.7
"Mic Rodgers","Michael Jai White","Daniel von Bargen","Xander Berkeley",83,R,-13568780,4.1
"Christian Alvart","Norman Reedus","Dennis Quaid","Eddie Rouse",108,R,-22673938,6.8
"Gary Fleder","Gary Dourdan","Mekhi Phifer","Tim Guinee",102,R,-33885763,6.2
"Christian Duguay","Rufus Sewell","Bridgette Wilson-Sampras","Rupert Graves",93,PG-13,-35164032,4.5
"Jean-Marie Poiré","Bridgette Wilson-Sampras","Matt Ross","John Aylward",84,PG-13,-35222993,5.8
"Danny Boyle","Chris Evans","Benedict Wong","Troy Garity",107,R,-22324928,7.3
"Brian Robbins","John Gatins","Lou Saliba","Greg Collins",91,PG-13,-21561851,5.9
"Marc F. Adler","Eric Idle","Anne Bancroft","Kelly Ripa",94,PG,-39488080,4.4
"Pierre Morel","Ray Winstone","Mark Rylance","Jasmine Trinca",115,R,-29359355,5.8
"Geoffrey Sax","Alex Pettyfer","Sophie Okonedo","Ashley Walters",93,PG,-39347474,5.1
"D.J. Caruso","Sarah Roemer","Aaron Yoo","Jose Pablo Cantillo",105,PG-13,60050171,6.9
"Iain Softley","Angelina Jolie Pitt","Fisher Stevens","Lorraine Bracco",107,PG-13,-12436000,6.2
"Richard Shepard","James Brolin","Zan Marolt","Ljubomir Kerekes",101,R,-24123329,6.9
"Joel Coen","Jennifer Jason Leigh","Bill Cobbs","John Mahoney",111,PG,-27130631,7.3
"Peter Ho-Sun Chan","Jet Li","Takeshi Kaneshiro","Andy Lau",113,R,-39871022,7.1
"Sergey Bodrov","Jay Hernandez","Kuno Becker","Jason Scott Lee",112,R,-24922769,6
"Joon-ho Bong","Chris Evans","Ewen Bremner","Kang-ho Song",126,R,-34636971,7
"Bibo Bergeron","Adam Goldberg","Bob Balaban","François Cluzet",90,PG,-25000000,6.8
"Jeff Nathanson","Matthew Broderick","Glenn Morshower","Tim Blake Nelson",93,R,463730,5.7
"Alex Proyas","Michael Wincott","Bai Ling","David Patrick Kelly",98,R,27693162,7.6
"S.S. Rajamouli","Tamannaah Bhatia","Anushka Shetty",Prabhas,159,,-11528148,8.4
"Robert Schwentke","Arliss Howard","Brooklynn Proulx","Michelle Nolden",107,PG-13,24411478,7.1
"Michael Lehmann","Colin Ferguson","Stephen Collins","Tom Everett Scott",102,PG-13,42640890,5.6
"Rob Cohen","Paul Walker","Vin Diesel","Jordana Brewster",106,PG-13,106512310,6.7
"Tim Burton","Martin Landau","Catherine O'Hara","Atticus Shaffer",87,PG,-3712212,7
"Joss Whedon","Adam Baldwin","Sean Maher","Michael Hitchcock",119,PG-13,-14664065,8
"Charles S. Dutton","Omar Epps","Charles S. Dutton","Tim Daly",110,PG-13,-33118496,5.3
"Richard Lester","Margot Kidder","Robert Vaughn","Jackie Cooper",125,PG,21000000,4.9
"Peter Segal","Robert De Niro","Sylvester Stallone","Oscar Gale",113,PG-13,-10197239,6.4
"John Woo","Takeshi Kaneshiro","Tony Chiu Wai Leung","Wei Zhao",150,R,-553005191,7.4
"Andy Tennant","Ethan Embry","Mary Lynn Rajskub","Courtney Gains",108,PG-13,89214072,6.1
"Robert Luketic","Gerard Butler","John Michael Higgins","Eric Winter",96,R,50915214,6.5
"Jonathan Lynn","Austin Pendleton","Phil Hartman","Max Casella",93,PG,-8600000,5.7
"Robert Rodriguez","Steve Buscemi","Alexa PenaVega","Emily Osment",100,PG,47570368,5.1
"David Carson","LeVar Burton","Alan Ruck","Jonathan Frakes",118,PG,40668868,6.6
"Kar-Wai Wong","Tony Chiu Wai Leung","Hye-kyo Song","Elvis Tsui",122,PG-13,-32005864,6.5
"Francis Lawrence","Robert Pattinson","Christoph Waltz","James Frain",120,PG-13,20700247,6.9
,"Joseph Gordon-Levitt","Wayne Knight","Kristen Johnston",60,TV-PG,0,7.8
"Yuefeng Song","Blythe Auffarth","Bianca Collins","Jiao Xu",88,,-40000000,6.4
"Norman Jewison","Denzel Washington","Vincent Pastore","Deborah Kara Unger",146,R,12668906,7.6
"Michael Apted","Bill Cobbs","Jeff Kober","Billy Campbell",115,PG-13,1177215,5.6
"David Mirkin","Sarah Silverman","Anne Bancroft","Jeffrey Jones",123,PG-13,5334024,6.2
"Andy Fickman","D.B. Woodside","Daniella Alonso","Eduardo Verástegui",94,PG,41038190,4.4
"Luis Mandoki","Sonia Braga","Shirley Knight","Kari Matchett",102,R,-13955468,5.6
"John Pasquin","Jim Belushi","Ken Marino","Kelly Lynch",98,PG,-15229136,5.5
"Roman Polanski","Johnny Depp","Frank Langella","Lena Olin",133,R,-19346254,6.7
"Michael Apted","J.K. Simmons","Paul Guilfoyle","Bill Nunn",118,R,-20694789,6.1
"Stephen Herek","Beth Grant","Dagmara Dominczyk","Matthew Glave",105,R,-40008098,6.2
"Lee Daniels",Mo'Nique,"Gabourey Sidibe","Mariah Carey",109,R,37536959,7.3
"Ridley Scott","Jeff Bridges","Jason Marsden","Ethan Embry",129,PG-13,-27700000,6.6
"John Carpenter","Wilford Brimley","Richard Masur","David Clennon",109,R,-1217162,8.2
"David Twohy","Vin Diesel","Nolan Gerard Funk","Bokeem Woodbine",127,R,3997790,6.4
"Jeb Stuart","Gregory Scott Cummins","Claudia Stedelin","Ted Markland",118,R,-30517805,6.4
"Steve Miner","Tom Skerritt","Usher Raymond","Leonor Varela",110,PG-13,-37376626,5.2
"Gil Kenan","Bill Murray","Toby Jones","Harry Treadaway",90,PG,-47128307,6.5
"Paul Thomas Anderson","Mike Howard","Jeffrey W. Jenkins","Bruce Goodchild",144,R,-15622726,7.1
"David Leland","Hayden Christensen","Ryan Cartwright","David Walliams",97,R,-38000000,4.8
"Gary Fleder","Dennis Quaid","Nicole Beharie","Charles S. Dutton",130,PG,-30410125,7.3
"J Blakeson","Chloë Grace Moretz","Maggie Siff","Nick Robinson",112,PG-13,-3087018,5.2
"Ryan Coogler","Sylvester Stallone","Phylicia Rashad","Graham McTavish",133,PG-13,74712885,7.7
"Ben Affleck","Jeremy Renner","Jon Hamm","Owen Burke",150,R,55173235,7.6
"Kirk Jones","Anna Kendrick","Dennis Quaid","Thomas Lennon",110,PG-13,1102171,5.7
"Ethan Coen","J.K. Simmons","Brad Pitt","Kevin Sussman",96,R,23338891,7
"Jennifer Flackett","Gerard Butler","Anthony Simcoe","Christopher James Baker",96,PG,11006503,6
"Ron Howard","Chris Hemsworth","Olivia Wilde","Alexandra Maria Lara",123,R,-11096291,8.1
"Paul Thomas Anderson","Patton Oswalt","Neil Flynn","Jim Meskimen",188,R,-14549025,8
"Kevin Smith","Bruce Willis","Tracy Morgan","Kevin Pollak",107,R,7867349,5.6
"Christian Ditter","Alison Brie","Damon Wayans Jr.","Nicholas Braun",110,R,8813366,6.1
"Charles Martin Smith","Morgan Freeman","Michael Roark","Harry Connick Jr.",113,PG,35279690,6.9
"Catherine Hardwicke","Kristen Stewart","Taylor Lautner","Anna Kendrick",122,PG-13,154449475,5.2
"Nick Cassavetes","Denzel Washington","Laura Harring","Anne Heche",116,PG-13,35026631,7
"Les Mayfield","Peter Greene","Dave Chappelle","Tamala Jones",93,PG-13,3208190,6.3
"Rawson Marshall Thurber",Laura-Leigh,"Molly C. Quinn","Thomas Lennon",118,R,113368971,7
"Fedor Bondarchuk","Yuliya Snigir","Fedor Bondarchuk","Aleksey Serebryakov",115,,-29500000,5.3
"Jonathan Mostow","Kathleen Quinlan","M.C. Gainey","J.T. Walsh",93,R,14129186,6.9
"Irvin Kershner","Bernie Casey","Klaus Maria Brandauer","Barbara Carrera",121,PG,19500000,6.2
"Steve Pink","Charlie McDermott","Collette Wolfe","Crystal Lowe",101,R,14213619,6.4
"Charles Martin Smith","Morgan Freeman","Taylor Blackwell","Harry Connick Jr.",107,PG,6019483,6.4
"John Frankenheimer","Charlize Theron","James Frain","Clarence Williams III",124,R,-10639221,5.7
"F. Gary Gray","Vin Diesel","Jeff Kober","Larenz Tate",109,R,-9816803,6.1
"Cameron Crowe","Emma Stone","Bradley Cooper","Bill Murray",105,PG-13,-16008503,5.4
"Rob Reiner","Alexa PenaVega","Virginia Madsen","Craig T. Nelson",130,PG-13,-22947259,6.7
"Scott Hicks","Rick Yune","Reeve Carney","Daniel von Bargen",127,PG-13,-21621647,6.8
"Mikael Håfström","Anthony Hopkins","Colin O'Donoghue","Toby Jones",114,PG-13,-3962246,6
"Andrew Niccol","Blair Underwood","Xander Berkeley","Mason Gamble",106,PG-13,-23660367,7.8
"Andrew Bergman","Stockard Channing","Nathan Lane","John Larroquette",95,R,-33045595,5.3
"Kirk De Micco","Cheryl Hines","Kenan Thompson","Omid Abtahi",81,G,-6894032,4.5
"Chris Rock","Bernie Mac","Dylan Baker","Tracy Morgan",95,PG-13,2588228,5.4
"Todd Phillips","Bradley Cooper","Rob Riggle","Mike Epps",108,R,242313371,7.8
"Wilson Yip","Mike Tyson","Lynn Hung","Kwok-Kwan Chan",105,PG-13,-33873489,7.2
"Jay Roach","Muse Watson","Verne Troyer","Robert Wagner",95,PG-13,172399422,6.6
"Tim Burton","Michael Gough","Jack Palance","William Hootkins",126,PG-13,216188924,7.6
"Roland Joffé","Jordi Mollà","Dougray Scott","Lily Cole",102,PG-13,-34931608,5.9
"Richard Donner","Rene Russo","Nick Chinlund","Stuart Wilson",121,R,109731527,6.7
"John Lee Hancock","Catherine Dyer","Quinton Aaron","Kim Dickens",129,PG-13,226950375,7.7
,"Jon Foo","Aimee Garcia","Wendie Malick",43,TV-14,0,5.8
"Robert Rodriguez","Alexa PenaVega","Cheech Marin","Daryl Sabara",88,PG,77692062,5.4
"Seth Gordon","Kevin Spacey","Lindsay Sloane","Reginald Ballard",106,R,82528646,6.9
"Ethan Coen","Matt Damon","Jeff Bridges","Bruce Green",110,PG-13,133031347,7.7
"David Frankel","Meryl Streep","Anne Hathaway","Rebecca Mader",109,PG-13,89732962,6.8
"Robert Wise","Leonard Nimoy","Nichelle Nichols","Walter Koenig",143,PG,47300000,6.4
"Seth Gordon","Jon Favreau","Eric Stonestreet",T.I.,120,R,99455175,5.7
"Martin Scorsese","Robert De Niro","Robert Mitchum","Joe Don Baker",128,R,44100000,7.3
"Robert Luketic","Kevin Spacey","Jim Sturgess","Josh Gad",123,PG-13,46159365,6.8
"Judd Apatow","Amy Schumer","Randall Park","Josh Segarra",129,R,75008260,6.3
"Kevin Rodney Sullivan","Bernie Mac","Nicole Sullivan","Sherri Shepherd",105,PG-13,32962333,5.9
"Anthony Minghella","Colin Firth","Kristin Scott Thomas","Jürgen Prochnow",162,R,51651430,7.4
"Curtis Hanson","Kevin Spacey","Matt McCoy","Paul Guilfoyle",138,R,29604977,8.3
"Mike Mitchell","Michael Angarano","Kelly Preston","Nicholas Braun",100,PG,28939454,6.2
"Frank Oz","Tom Selleck","Wilford Brimley","Lauren Ambrose",90,PG-13,28826569,6.3
"Roger Donaldson","Natasha Henstridge","Marg Helgenberger","Jordan Lund",108,R,25054449,5.8
"Wes Craven","Johnny Depp","Lin Shaye","Amanda Wyss",101,X,24705000,7.5
"Tarsem Singh","Dylan Baker","Jake Weber","James Gammon",109,R,28280963,6.3
"Randall Wallace","Leonardo DiCaprio","Anne Parillaud","Judith Godrèche",132,PG-13,21876365,6.4
"Randall Wallace","Scott Glenn","Kevin Connolly","Dylan Walsh",123,PG,24699513,7.2
"Kevin Munroe","Chris Evans","Sarah Michelle Gellar",Mako,87,PG,20132596,6.3
"Michael Tollin","Alfre Woodard","Riley Smith","Debra Winger",109,PG,17277485,6.9
"Will Gluck","Mila Kunis","Justin Timberlake","Masi Oka",109,R,20802754,6.6
"Nicholas Stoller","Chloë Grace Moretz","Ike Barinholtz","Kiersey Clemons",92,R,20291815,6
"John Lee Hancock","Tom Hanks","Ruth Wilson","B.J. Novak",125,PG-13,48299761,7.5
"Spike Lee","Denzel Washington","Delroy Lindo","Al Freeman Jr.",202,PG-13,15169908,7.7
"Judd Apatow","Charlyne Yi","Maude Apatow","Mackenzie Aladjem",134,R,32523385,6.2
"Walt Becker","Robin Williams","Bernie Mac",Ann-Margret,88,PG,14474048,5.4
"Patrick Tatopoulos","Craig Parker","Kevin Grevioux","Steven Mackintosh",92,R,10802315,6.6
"Ken Kwapis","Robin Williams","Christine Taylor","Mindy Kaling",91,PG-13,8792641,5.3
"Dennis Dugan","Jon Lovitz","Jon Heder","Tim Meadows",75,PG-13,24651794,5.6
"Gary David Goldberg","Stockard Channing","Victor Webster","Elizabeth Perkins",98,PG-13,13894863,5.9
"Mike Newell","Johnny Depp","Al Pacino","Anne Heche",147,R,6954997,7.8
"Paul W.S. Anderson","Milla Jovovich","Jaymes Butler","Colin Salmon",100,R,6532308,6.7
"Tobe Hooper","Heather O'Rourke","Zelda Rubinstein","Craig T. Nelson",120,PG,65900000,7.4
"Ethan Coen","J.K. Simmons","Tom Hanks","Stephen Root",104,R,4692139,6.2
"John Moore","Mila Kunis","Beau Bridges","Jamie Hector",103,PG-13,5687294,5.4
"Andrew Niccol","Matt Bomer","Olivia Wilde","Justin Timberlake",109,PG-13,-2446068,6.7
"Alan Poul","Danneel Ackles","Noureen DeWulf","Tom Bosley",104,PG-13,2481242,5.3
"Luke Greenfield","Ashley Williams","Steve Howey","Kirsten Day",112,PG-13,4026186,5.9
,"Jodi Lyn O'Keefe","Kimberly Elise","Logan Browning",60,,0,7
"Gil Junger","Tom Wilkinson","Marsha Thomason","Vincent Regan",95,PG-13,-16577194,4.8
"Michael Ritchie","Tatum O'Neal","Vic Morrow","Joyce Van Patten",102,PG,0,7.3
"Steven E. de Souza","Ming-Na Wen","Raul Julia","Kylie Minogue",102,PG-13,-1576479,3.8
"Roman Polanski","Emilia Fox","Frank Finlay","Ed Stoppard",150,R,-2480678,8.5
"Albert Hughes","Johnny Depp","Jason Flemyng","Ian Richardson",122,R,-3401692,6.8
"Catherine Hardwicke","Keisha Castle-Hughes","Hiam Abbass","Shaun Toub",101,PG,7617947,6.8
"Jaume Collet-Serra","Robert Ri'chard","Paris Hilton","Brian Van Holt",108,R,2048809,5.3
"Mike Nichols","Natalie Portman","Julia Roberts","Colin Stinton",98,R,6987757,7.3
"Clint Eastwood","Leonardo DiCaprio","Naomi Watts","Kaitlyn Dever",137,R,2304950,6.6
"Alexandre Aja","Jason Flemyng","Cameron Boyce","Julian Glover",112,R,-4308561,6.2
"Michael Rymer",Aaliyah,"Lena Olin","Bruce Spence",101,R,-4692196,5.2
"Stephen Hopkins","Adam Baldwin","Robert Davi","Kevin Peter Hall",103,R,-4330587,6.2
"Gregory Hoblit","Billy Burke","Jesse Tyler Ferguson","Joseph Cross",101,R,-6312165,6.2
"Hugh Wilson","Brendan Fraser","Sissy Spacek","Douglas Smith",112,PG-13,-8505389,6.6
